drug_id,protein_id,protein_name,protein_title,drug_name
DB00303,P45059,Peptidoglycan synthase FtsI,FTSI_HAEIN,Ertapenem
DB00114,P19113,Histidine decarboxylase,DCHS_HUMAN,Pyridoxal phosphate
DB00117,P19113,Histidine decarboxylase,DCHS_HUMAN,Histidine
DB00142,Q9UI32,"Glutaminase liver isoform, mitochondrial",GLSL_HUMAN,Glutamic acid
DB02340,P00488,Coagulation factor XIII A chain,F13A_HUMAN,N-Acetyl-Serine
DB11300,P00488,Coagulation factor XIII A chain,F13A_HUMAN,Thrombin
DB11311,P00488,Coagulation factor XIII A chain,F13A_HUMAN,Prothrombin
DB11571,P00488,Coagulation factor XIII A chain,F13A_HUMAN,Human thrombin
DB13151,P00488,Coagulation factor XIII A chain,F13A_HUMAN,Anti-inhibitor coagulant complex
DB00125,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Arginine
DB00155,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Citrulline
DB00244,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Mesalazine
DB01017,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Minocycline
DB01110,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Miconazole
DB01234,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Dexamethasone
DB01381,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Ginkgo biloba
DB01686,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"N,N-dimethylarginine"
DB01835,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,4R-Fluoro-N6-ethanimidoyl-L-lysine
DB01997,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,3-Bromo-7-Nitroindazole
DB02044,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,N-[3-(aminomethyl)benzyl]acetamidine
DB02207,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,7-Nitroindazole
DB02234,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,S-Ethylisothiourea
DB02462,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Thiocoumarin
DB02644,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,N-omega-propyl-L-arginine
DB03100,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,6-Nitroindazole
DB03144,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine
DB03366,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Imidazole
DB03449,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide
DB03953,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Thiocitrulline
DB04400,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"L-erythro-7,8-dihydrobiopterin"
DB04534,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,5-Nitroindazole
DB05214,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,KD7040
DB05252,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Fenoxaprop-ethyl
DB05383,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Pimagedine
DB06879,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE"
DB06916,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"N-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-1-[2-(1H-IMIDAZOL-1-YL)-6-METHYLPYRIMIDIN-4-YL]-D-PROLINAMIDE"
DB07002,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,4-({4-[(4-methoxypyridin-2-yl)amino]piperidin-1-yl}carbonyl)benzonitrile
DB07003,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"(2S)-2-methyl-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine"
DB07007,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"(3R)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine"
DB07008,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE"
DB07011,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"(3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE"
DB07029,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE"
DB07306,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE
DB07318,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE"
DB07388,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE
DB07389,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE
DB07405,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE"
DB08214,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,4-(1H-IMIDAZOL-1-YL)PHENOL
DB08750,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,"1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE"
DB08814,P35228,"Nitric oxide synthase, inducible",NOS2_HUMAN,Triflusal
